"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
4885,1,NA,"2007-07-20","S",20,155,"BrF","ABX",1,348.958333333333,348.958333333333,"2006-08-05","2006-08-05",NA,NA,2007,2006,2006,357,325,4,4,NA,"N",527.412551993219,2583,1434,578.85254053,2.824358152,0,5,0.119206273,16,"S","HE","G","P","P",291,"Primary",0,0,42,1,"A",0.694481643,0.498263687,6421156,42.1
4887,1,NA,"2009-07-21","S",112,75,"BrM","ABX",1,1080.95833333333,1080.95833333333,"2006-08-05","2006-08-05",NA,NA,2009,2006,2006,347,294,7,6,NA,"N",37.7359245282264,2092,1814,1174.006612919,4.308373733,1,36,0.818103789,17.20000076,"T","SP","B","D","H",0,"Primary",0,0,45,1,"A",0.189781885,-0.018433271,2076481,45.1
4887,1,NA,"2009-07-21","S",112,75,"BrM","ABX",1,1080.95833333333,1080.95833333333,"2006-08-05","2006-08-05",NA,NA,2009,2006,2006,347,294,7,6,NA,"N",37.7359245282264,2092,1814,1174.006612919,4.308373733,1,19,0.404102,16.5,"P","SP","B","D","H",21,"Primary",0,0,66,2,"A",0.19947877,-0.011183156,2137444,66.1
4890,1,NA,"2009-01-09","W",24,39,"BrM","ABX",1,879,879,"2006-08-14","2006-08-14",NA,NA,2009,2006,2006,330,304,6,6,NA,"N",53.851648071345,2160,1075,981.912924396,2.75125573,1,74,0.296563742,16,"C","SH","B","D","P",242,"Primary",0,0,33,2,"A",0.61644481,0.399800757,5593225,33.2
4890,1,NA,"2009-01-09","W",24,39,"BrM","ABX",1,879,879,"2006-08-14","2006-08-14",NA,NA,2009,2006,2006,330,304,6,6,NA,"N",53.851648071345,2160,1075,981.912924396,2.75125573,1,24,0.250563544,16.10000038,"S","SAK","B","D","P",0,"Primary",0,0,5,1,"A",0.504699758,0.27063517,4507129,5.1
4892,1,NA,"2007-11-12","W",72,173,"BrM","ABX",1,455,455,"2006-08-14","2006-08-14",NA,NA,2007,2006,2006,393,349,6,5,NA,"N",48.2597140480546,1914,2182,578.85254053,2.824358152,1,46,0.573142349,16.5,"S","SP","B","D","H",0,"Primary",0,0,57,1,"A",0.191167155,-0.017403963,2085136,57.1
4892,1,NA,"2007-11-12","W",72,173,"BrM","ABX",1,455,455,"2006-08-14","2006-08-14",NA,NA,2007,2006,2006,393,349,6,5,NA,"N",48.2597140480546,1914,2182,578.85254053,2.824358152,1,57,0.619142548,17,"C","MB","G","P","P",340,"Primary",0,0,84,2,"A",0.709719605,0.51828294,6589489,84.1
4896,1,NA,"2007-07-26","S",88,71,"ABX","ABX",2,344.958333333333,344.958333333333,"2006-08-15","2006-08-15",NA,NA,2007,2006,2006,393,349,3,2,NA,"N",331.25367922485,1622,1512,578.85254053,2.824358152,0,62,-0.126355935,16,"S","VS","B","D","P",750,"Primary",0,0,114,2,"A",0.554569451,0.326558212,4977361,114.1
4896,1,NA,"2007-07-26","S",88,71,"ABX","ABX",2,344.958333333333,344.958333333333,"2006-08-15","2006-08-15",NA,NA,2007,2006,2006,393,349,3,2,NA,"N",331.25367922485,1622,1512,578.85254053,2.824358152,0,7,0.05764486,15,"P","SP","B","D","H",0,"Primary",0,0,95,1,"A",0.208252142,-0.004533143,2193361,95.1
4904,1,NA,"2009-01-07","W",43,88,"BrF","AB",1,871,871,"2006-08-20","2006-08-20",NA,NA,2009,2006,2006,330,304,6,5,NA,"N",407.180549633698,2355,1487,981.912924396,2.75125573,0,36,-0.283659903,15,"S","HE","G","P","P",328,"Primary",0,0,78,1,"A",0.704178528,0.510973243,6528025,78.1
