"BirdID","TerritoryID","Status","FieldPeriodID","PeriodStart","PeriodEnd"
1722,87,"BrM",77,"06/01/2007","29/01/2007"
1722,87,"BrM",90,"30/12/2008","03/03/2009"
1722,87,"BrM",82,"14/06/2007","16/09/2007"
1722,87,"BrM",85,"08/01/2008","21/02/2008"
1722,87,"BrM",87,"10/07/2008","07/09/2008"
1722,87,"BrM",92,"08/06/2009","18/09/2009"
1722,87,"BrM",104,"30/06/2010","10/09/2010"
1722,87,"BrM",105,"25/06/2011","02/10/2011"
1722,87,"BrM",116,"04/06/2012","30/09/2012"
1722,87,"BrM",112,"22/01/2012","28/02/2012"
1722,87,"BrM",103,"12/02/2010","19/03/2010"
1722,87,"BrM",54,"11/11/2005","11/12/2005"
1722,90,"BrM",41,"11/07/2002","02/10/2002"
1729,20,"BrM",41,"11/07/2002","02/10/2002"
1729,20,"BrM",30,"06/06/2003","02/09/2003"
1729,20,"BrM",34,"30/05/2004","02/09/2004"
1729,20,"BrM",32,"17/05/2004","29/05/2004"
1729,20,"BrM",35,"18/12/2004","12/01/2005"
1729,20,"BrM",31,"12/12/2003","14/01/2004"
1729,20,"BrM",37,"26/05/2005","11/09/2005"
1729,20,"BrM",75,"12/06/2006","02/09/2006"
1729,20,"BrM",77,"06/01/2007","29/01/2007"
1729,20,"BrM",90,"30/12/2008","03/03/2009"
1729,20,"BrM",82,"14/06/2007","16/09/2007"
1729,20,"BrM",85,"08/01/2008","21/02/2008"
1729,20,"BrM",87,"10/07/2008","07/09/2008"
1729,20,"BrM",92,"08/06/2009","18/09/2009"
1729,20,"BrM",104,"30/06/2010","10/09/2010"
1729,20,"BrM",105,"25/06/2011","02/10/2011"
1729,20,"BrM",103,"12/02/2010","19/03/2010"
1729,20,"BrM",116,"04/06/2012","30/09/2012"
1729,20,"BrM",118,"22/01/2013","27/02/2013"
1729,20,"BrM",112,"22/01/2012","28/02/2012"
1729,20,"BrM",122,"18/06/2013","30/09/2013"
1729,20,"BrM",54,"11/11/2005","11/12/2005"
1729,20,"BrM",124,"19/01/2014","04/03/2014"
1729,20,"BrM",125,"16/06/2014","04/10/2014"
1729,20,"BrM",139,"16/01/2015","05/03/2015"
1731,80,"FL",41,"11/07/2002","02/10/2002"
1731,80,"H",30,"06/06/2003","02/09/2003"
1731,80,"ABX",32,"17/05/2004","29/05/2004"
1731,80,"ABX",31,"12/12/2003","14/01/2004"
1731,112,"BrM",34,"30/05/2004","02/09/2004"
1731,112,"BrM",35,"18/12/2004","12/01/2005"
1731,112,"BrM",37,"26/05/2005","11/09/2005"
1731,112,"BrM",75,"12/06/2006","02/09/2006"
1731,112,"BrM",77,"06/01/2007","29/01/2007"
1731,112,"BrM",90,"30/12/2008","03/03/2009"
1731,112,"BrM",82,"14/06/2007","16/09/2007"
1731,112,"BrM",85,"08/01/2008","21/02/2008"
1731,112,"BrM",87,"10/07/2008","07/09/2008"
1731,112,"BrM",92,"08/06/2009","18/09/2009"
1731,112,"BrM",104,"30/06/2010","10/09/2010"
1731,112,"BrM",105,"25/06/2011","02/10/2011"
1731,112,"BrM",103,"12/02/2010","19/03/2010"
1731,112,"BrM",116,"04/06/2012","30/09/2012"
1731,112,"BrM",112,"22/01/2012","28/02/2012"
1731,112,"BrM",118,"22/01/2013","27/02/2013"
1731,112,"BrM",54,"11/11/2005","11/12/2005"
1750,1,"BrM",34,"30/05/2004","02/09/2004"
1750,1,"BrM",32,"17/05/2004","29/05/2004"
1750,1,"BrM",35,"18/12/2004","12/01/2005"
1750,1,"BrM",37,"26/05/2005","11/09/2005"
1750,1,"BrM",75,"12/06/2006","02/09/2006"
1750,1,"BrM",77,"06/01/2007","29/01/2007"
1750,1,"BrM",90,"30/12/2008","03/03/2009"
1750,1,"BrM",82,"14/06/2007","16/09/2007"
1750,1,"BrM",85,"08/01/2008","21/02/2008"
1750,1,"BrM",87,"10/07/2008","07/09/2008"
1750,1,"BrM",92,"08/06/2009","18/09/2009"
1750,1,"BrM",104,"30/06/2010","10/09/2010"
1750,1,"BrM",105,"25/06/2011","02/10/2011"
1750,1,"BrM",103,"12/02/2010","19/03/2010"
1750,1,"BrM",116,"04/06/2012","30/09/2012"
1750,1,"BrM",118,"22/01/2013","27/02/2013"
1750,1,"BrM",112,"22/01/2012","28/02/2012"
1750,1,"BrM",122,"18/06/2013","30/09/2013"
1750,1,"BrM",54,"11/11/2005","11/12/2005"
1750,1,"BrM",124,"19/01/2014","04/03/2014"
1750,1,"BrM",125,"16/06/2014","04/10/2014"
1750,1,"BrM",139,"16/01/2015","05/03/2015"
1750,1,"BrM",142,"22/06/2015","29/09/2015"
1750,7,"FL",41,"11/07/2002","02/10/2002"
1750,7,"ABX",30,"06/06/2003","02/09/2003"
1750,7,"B",31,"12/12/2003","14/01/2004"
1762,-3,"FLOAT",37,"26/05/2005","11/09/2005"
1762,-3,"FLOAT",54,"11/11/2005","11/12/2005"
1762,2,"B",30,"06/06/2003","02/09/2003"
1762,2,"ABX",34,"30/05/2004","02/09/2004"
1762,2,"B",31,"12/12/2003","14/01/2004"
1762,15,"BrM",75,"12/06/2006","02/09/2006"
1762,15,"BrM",77,"06/01/2007","29/01/2007"
1762,15,"BrM",90,"30/12/2008","03/03/2009"
1762,15,"BrM",82,"14/06/2007","16/09/2007"
1762,15,"BrM",85,"08/01/2008","21/02/2008"
1762,15,"BrM",87,"10/07/2008","07/09/2008"
1762,15,"BrM",92,"08/06/2009","18/09/2009"
1762,15,"BrM",104,"30/06/2010","10/09/2010"
1762,15,"BrM",105,"25/06/2011","02/10/2011"
1762,15,"BrM",103,"12/02/2010","19/03/2010"
1762,15,"BrM",116,"04/06/2012","30/09/2012"
1762,15,"BrM",118,"22/01/2013","27/02/2013"
1762,15,"BrM",112,"22/01/2012","28/02/2012"
1762,15,"BrM",122,"18/06/2013","30/09/2013"
1762,15,"BrM",124,"19/01/2014","04/03/2014"
1762,15,"BrM",125,"16/06/2014","04/10/2014"
1762,15,"BrM",139,"16/01/2015","05/03/2015"
1762,15,"BrM",142,"22/06/2015","29/09/2015"
1762,15,"BrM",144,"02/02/2016","09/03/2016"
1762,15,"BrM",159,"23/06/2016","19/09/2016"
1762,15,"BrM",161,"07/02/2017","03/03/2017"
1762,15,"BrM",164,"21/06/2017","20/09/2017"
1762,15,"BrM",166,"30/01/2018","14/03/2018"
1762,15,"BrM",167,"19/06/2018","22/09/2018"
1762,15,"BrM",171,"21/01/2019","09/03/2019"
1762,15,"BrM",173,"10/06/2019","23/09/2019"
1762,15,"BrM",174,"05/02/2020","16/03/2020"
1763,3,"BrF",30,"06/06/2003","02/09/2003"
1763,3,"BrF",34,"30/05/2004","02/09/2004"
1763,3,"BrF",32,"17/05/2004","29/05/2004"
1763,3,"BrF",35,"18/12/2004","12/01/2005"
1763,3,"BrF",31,"12/12/2003","14/01/2004"
1763,3,"BrF",37,"26/05/2005","11/09/2005"
1763,3,"BrF",75,"12/06/2006","02/09/2006"
1763,3,"BrF",77,"06/01/2007","29/01/2007"
1763,3,"BrF",90,"30/12/2008","03/03/2009"
1763,3,"BrF",82,"14/06/2007","16/09/2007"
1763,3,"BrF",85,"08/01/2008","21/02/2008"
1763,3,"BrF",87,"10/07/2008","07/09/2008"
1763,3,"BrF",92,"08/06/2009","18/09/2009"
1763,3,"BrF",104,"30/06/2010","10/09/2010"
1763,3,"BrF",105,"25/06/2011","02/10/2011"
1763,3,"BrF",116,"04/06/2012","30/09/2012"
1763,3,"BrF",118,"22/01/2013","27/02/2013"
1763,3,"BrF",112,"22/01/2012","28/02/2012"
1763,3,"BrF",122,"18/06/2013","30/09/2013"
1763,3,"BrF",103,"12/02/2010","19/03/2010"
1763,3,"BrF",54,"11/11/2005","11/12/2005"
1801,137,"ABX",30,"06/06/2003","02/09/2003"
1801,137,"ABX",31,"12/12/2003","14/01/2004"
1801,138,"BrM",35,"18/12/2004","12/01/2005"
1801,138,"BrM",37,"26/05/2005","11/09/2005"
1801,138,"BrM",75,"12/06/2006","02/09/2006"
1801,138,"BrM",77,"06/01/2007","29/01/2007"
1801,138,"BrM",90,"30/12/2008","03/03/2009"
1801,138,"BrM",82,"14/06/2007","16/09/2007"
1801,138,"BrM",85,"08/01/2008","21/02/2008"
1801,138,"BrM",87,"10/07/2008","07/09/2008"
1801,138,"BrM",92,"08/06/2009","18/09/2009"
1801,138,"BrM",104,"30/06/2010","10/09/2010"
1801,138,"BrM",105,"25/06/2011","02/10/2011"
1801,138,"BrM",103,"12/02/2010","19/03/2010"
1801,138,"BrM",116,"04/06/2012","30/09/2012"
1801,138,"BrM",112,"22/01/2012","28/02/2012"
1801,138,"BrM",118,"22/01/2013","27/02/2013"
1801,138,"BrM",122,"18/06/2013","30/09/2013"
1801,138,"BrM",54,"11/11/2005","11/12/2005"
1819,79,"FL",30,"06/06/2003","02/09/2003"
1819,79,"ABX",34,"30/05/2004","02/09/2004"
1819,79,"ABX",35,"18/12/2004","12/01/2005"
1819,79,"OFL",31,"12/12/2003","14/01/2004"
1819,79,"ABX",37,"26/05/2005","11/09/2005"
1819,79,"ABX",32,"17/05/2004","29/05/2004"
1819,79,"H",75,"12/06/2006","02/09/2006"
1819,79,"ABX",77,"06/01/2007","29/01/2007"
1819,79,"ABX",90,"30/12/2008","03/03/2009"
1819,79,"ABX",82,"14/06/2007","16/09/2007"
1819,79,"ABX",85,"08/01/2008","21/02/2008"
1819,79,"ABX",87,"10/07/2008","07/09/2008"
1819,79,"ABX",54,"11/11/2005","11/12/2005"
1819,171,"BrM",92,"08/06/2009","18/09/2009"
1819,171,"BrM",104,"30/06/2010","10/09/2010"
1819,171,"BrM",105,"25/06/2011","02/10/2011"
1819,171,"BrM",103,"12/02/2010","19/03/2010"
1819,171,"BrM",116,"04/06/2012","30/09/2012"
1819,171,"BrM",112,"22/01/2012","28/02/2012"
1821,54,"BrF",30,"06/06/2003","02/09/2003"
1821,54,"BrF",34,"30/05/2004","02/09/2004"
1821,54,"BrF",32,"17/05/2004","29/05/2004"
1821,54,"BrF",35,"18/12/2004","12/01/2005"
1821,54,"BrF",31,"12/12/2003","14/01/2004"
1821,54,"BrF",37,"26/05/2005","11/09/2005"
1821,54,"BrF",75,"12/06/2006","02/09/2006"
1821,54,"BrF",77,"06/01/2007","29/01/2007"
1821,54,"BrF",90,"30/12/2008","03/03/2009"
1821,54,"BrF",82,"14/06/2007","16/09/2007"
1821,54,"BrF",85,"08/01/2008","21/02/2008"
1821,54,"BrF",87,"10/07/2008","07/09/2008"
1821,54,"BrF",92,"08/06/2009","18/09/2009"
1821,54,"BrF",104,"30/06/2010","10/09/2010"
1821,54,"BrF",105,"25/06/2011","02/10/2011"
1821,54,"BrF",116,"04/06/2012","30/09/2012"
1821,54,"BrF",112,"22/01/2012","28/02/2012"
1821,54,"BrF",103,"12/02/2010","19/03/2010"
1821,54,"BrF",54,"11/11/2005","11/12/2005"
1821,60,"BrF",118,"22/01/2013","27/02/2013"
1821,60,"BrF",122,"18/06/2013","30/09/2013"
1821,60,"BrF",124,"19/01/2014","04/03/2014"
1821,60,"BrF",125,"16/06/2014","04/10/2014"
1821,60,"BrF",139,"16/01/2015","05/03/2015"
1821,60,"BrF",142,"22/06/2015","29/09/2015"
1821,60,"BrF",144,"02/02/2016","09/03/2016"
1824,22,"FL",30,"06/06/2003","02/09/2003"
1824,22,"ABX",34,"30/05/2004","02/09/2004"
1824,22,"ABX",32,"17/05/2004","29/05/2004"
1824,22,"ABX",35,"18/12/2004","12/01/2005"
1824,22,"OFL",31,"12/12/2003","14/01/2004"
1824,22,"H",37,"26/05/2005","11/09/2005"
1824,22,"H",75,"12/06/2006","02/09/2006"
1824,22,"ABX",77,"06/01/2007","29/01/2007"
1824,22,"H",82,"14/06/2007","16/09/2007"
1824,22,"ABX",85,"08/01/2008","21/02/2008"
1824,22,"ABX",87,"10/07/2008","07/09/2008"
1824,22,"ABX",54,"11/11/2005","11/12/2005"
1824,36,"BrF",90,"30/12/2008","03/03/2009"
1824,36,"BrF",92,"08/06/2009","18/09/2009"
1824,36,"BrF",104,"30/06/2010","10/09/2010"
1824,36,"BrF",105,"25/06/2011","02/10/2011"
1824,36,"BrF",103,"12/02/2010","19/03/2010"
1824,36,"BrF",116,"04/06/2012","30/09/2012"
1824,36,"BrF",118,"22/01/2013","27/02/2013"
1824,36,"BrF",112,"22/01/2012","28/02/2012"
1824,36,"BrF",122,"18/06/2013","30/09/2013"
1824,36,"TBRF",124,"19/01/2014","04/03/2014"
1824,605,"BrF",124,"19/01/2014","04/03/2014"
1824,605,"BrF",125,"16/06/2014","04/10/2014"
1824,605,"BrF",139,"16/01/2015","05/03/2015"
1826,9,"BrF",37,"26/05/2005","11/09/2005"
1826,9,"BrF",75,"12/06/2006","02/09/2006"
1826,9,"BrF",77,"06/01/2007","29/01/2007"
1826,9,"BrF",90,"30/12/2008","03/03/2009"
1826,9,"BrF",82,"14/06/2007","16/09/2007"
1826,9,"BrF",85,"08/01/2008","21/02/2008"
1826,9,"BrF",87,"10/07/2008","07/09/2008"
1826,9,"BrF",92,"08/06/2009","18/09/2009"
1826,9,"BrF",104,"30/06/2010","10/09/2010"
1826,9,"BrF",105,"25/06/2011","02/10/2011"
1826,9,"BrF",103,"12/02/2010","19/03/2010"
1826,9,"BrF",116,"04/06/2012","30/09/2012"
1826,9,"BrF",118,"22/01/2013","27/02/2013"
1826,9,"BrF",112,"22/01/2012","28/02/2012"
1826,9,"BrF",122,"18/06/2013","30/09/2013"
1826,9,"BrF",54,"11/11/2005","11/12/2005"
1826,9,"BrF",124,"19/01/2014","04/03/2014"
1826,9,"BrF",125,"16/06/2014","04/10/2014"
1826,9,"BrF",139,"16/01/2015","05/03/2015"
1826,9,"BrF",142,"22/06/2015","29/09/2015"
1826,9,"BrF",144,"02/02/2016","09/03/2016"
1826,9,"BrF",159,"23/06/2016","19/09/2016"
1826,9,"BrF",161,"07/02/2017","03/03/2017"
1826,9,"BrF",164,"21/06/2017","20/09/2017"
1826,9,"BrF",166,"30/01/2018","14/03/2018"
1826,9,"BrF",167,"19/06/2018","22/09/2018"
1826,9,"BrF",171,"21/01/2019","09/03/2019"
