"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
5778,NA,NA,2011-12-10,2011-12-10,0,0,NA,2011,2011
5780,498.958333333333,498.958333333333,2011-12-11,2011-12-11,NA,NA,2013,2011,2011
5782,300.958333333333,302.958333333333,2011-06-20,2011-06-18,NA,NA,2012,2011,2011
5784,NA,NA,2011-11-18,2011-11-18,0,0,NA,2011,2011
5785,NA,NA,2011-12-19,2011-12-19,0,0,NA,2011,2011
5787,211.958333333333,211.958333333333,2011-12-25,2011-12-25,NA,NA,2012,2011,2011
5820,417.958333333333,417.958333333333,2012-03-01,2012-03-01,NA,NA,2013,2012,2012
5821,415.958333333333,415.958333333333,2012-03-03,2012-03-03,NA,NA,2013,2012,2012
5822,355.958333333333,355.958333333333,2012-05-02,2012-05-02,NA,NA,2013,2012,2012
5824,284,284,2012-02-16,2012-02-16,NA,NA,2012,2012,2012
5825,432.958333333333,432.958333333333,2012-02-15,2012-02-15,NA,NA,2013,2012,2012
5826,267.958333333333,267.958333333333,2011-10-18,2011-10-18,NA,NA,2012,2011,2011
5827,NA,NA,2012-04-15,2012-04-15,0,0,NA,2012,2012
5828,109,109,2011-10-16,2011-10-16,NA,NA,2012,2011,2011
5829,453.958333333333,453.958333333333,2012-04-13,2012-04-13,NA,NA,2013,2012,2012
5830,NA,NA,2011-10-13,2011-07-10,0,0,NA,2011,2011
5831,NA,NA,2012-02-06,2012-02-06,0,0,NA,2012,2012
5832,NA,NA,2012-02-07,2012-02-07,0,0,NA,2012,2012
5833,675.958333333333,638.958333333333,2011-06-17,2011-07-24,NA,NA,2013,2011,2011
5834,283,283,2012-02-17,2012-02-17,NA,NA,2012,2012,2012
5835,473,538,2011-10-23,2011-08-19,NA,NA,2013,2011,2011
5838,335,335,2012-03-09,2012-03-09,NA,NA,2013,2012,2012
5839,427.958333333333,427.958333333333,2012-05-15,2012-05-15,NA,NA,2013,2012,2012
5841,764,764,2012-01-13,2012-01-13,NA,NA,2014,2012,2012
5842,92.9583333333333,92.9583333333333,2012-01-14,2012-01-14,NA,NA,2012,2012,2012
5843,NA,NA,2012-01-15,2012-01-15,1,1,NA,2012,2012
5844,NA,NA,2012-01-16,2012-01-16,0,0,NA,2012,2012
5846,733.958333333333,724.958333333333,2012-05-20,2012-05-29,NA,NA,2014,2012,2012
5847,136,155,2011-09-19,2011-08-31,NA,NA,2012,2011,2011
5848,NA,NA,2012-07-25,2012-07-25,0,0,NA,2012,2012
5849,NA,NA,2012-01-27,2012-01-27,0,0,NA,2012,2012
5850,727,727,2012-01-28,2012-01-28,NA,NA,2014,2012,2012
5851,377.958333333333,377.958333333333,2012-07-27,2012-07-27,NA,NA,2013,2012,2012
5852,NA,NA,2012-07-28,2012-07-28,0,0,NA,2012,2012
5853,557,557,2012-07-29,2012-07-29,NA,NA,2014,2012,2012
5855,457,457,2012-08-24,2012-08-24,NA,NA,2013,2012,2012
5901,NA,NA,2012-06-05,2012-05-28,1,1,NA,2012,2012
5902,174,169,2012-06-05,2012-06-10,NA,NA,2012,2012,2012
5903,244,244,2012-06-08,2012-06-08,NA,NA,2013,2012,2012
5905,NA,NA,2012-06-09,2012-08-24,1,1,NA,2012,2012
5906,NA,NA,2012-06-07,2012-06-21,1,0,NA,2012,2012
5908,550.958333333333,550.958333333333,2012-12-18,2012-12-18,NA,NA,2014,2012,2012
5909,1038.95833333333,950.958333333333,2012-06-23,2012-09-19,NA,NA,2015,2012,2012
6009,271,271,2013-02-26,2013-02-26,NA,NA,2013,2013,2013
6010,387,387,2012-11-02,2012-11-02,NA,NA,2013,2012,2012
6011,634.958333333333,807.958333333333,2012-11-08,2012-05-19,NA,NA,2014,2012,2012
6012,930,971,2012-07-07,2012-05-27,NA,NA,2015,2012,2012
6013,NA,NA,2012-11-13,2012-11-13,0,0,NA,2012,2012
6014,81,245,2012-11-18,2012-06-07,NA,NA,2013,2012,2012
6015,NA,NA,2012-11-20,2012-11-20,0,0,NA,2012,2012
6016,811,811,2012-11-22,2012-11-22,NA,NA,2015,2012,2012
6017,202,167,2012-07-20,2012-08-24,NA,NA,2013,2012,2012
6018,365,466,2012-11-24,2012-08-15,NA,NA,2013,2012,2012
6020,NA,NA,2012-11-25,2012-11-25,0,0,NA,2012,2012
6021,NA,NA,2012-11-26,2012-11-26,0,0,NA,2012,2012
6023,NA,NA,2012-11-27,2012-11-27,0,0,NA,2012,2012
6024,360,360,2012-11-29,2012-11-29,NA,NA,2013,2012,2012
6026,NA,NA,2012-11-30,2012-11-30,1,1,NA,2012,2012
6028,352,352,2012-12-07,2012-12-07,NA,NA,2013,2012,2012
6029,244.958333333333,244.958333333333,2012-12-07,2012-12-07,NA,NA,2013,2012,2012
6030,238.958333333333,238.958333333333,2012-12-13,2012-12-13,NA,NA,2013,2012,2012
6031,NA,NA,2012-12-14,2012-12-14,0,0,NA,2012,2012
6033,493.958333333333,493.958333333333,2012-12-17,2012-12-17,NA,NA,2014,2012,2012
6034,420,420,2012-12-13,2012-12-13,NA,NA,2014,2012,2012
6037,NA,NA,2013-06-25,2013-06-25,0,0,NA,2013,2013
6045,710.958333333333,613.958333333333,2013-05-17,2013-08-22,NA,NA,2015,2013,2013
6047,496,496,2013-07-17,2013-07-17,NA,NA,2014,2013,2013
6048,380,380,2013-01-22,2013-01-22,NA,NA,2014,2013,2013
6050,332.958333333333,332.958333333333,2013-05-27,2013-05-27,NA,NA,2014,2013,2013
6062,NA,NA,2013-06-05,2013-06-05,1,1,NA,2013,2013
6065,263.958333333333,263.958333333333,2013-10-17,2013-10-17,NA,NA,2014,2013,2013
6067,491,439,2013-06-23,2013-08-14,NA,NA,2014,2013,2013
6138,548.958333333333,658.958333333333,2013-10-26,2013-07-08,NA,NA,2015,2013,2013
6140,NA,NA,2014-02-23,2014-02-23,0,0,NA,2014,2014
6141,277,288,2014-02-21,2014-02-10,NA,NA,2014,2014,2014
6142,NA,NA,2014-02-21,2014-02-21,0,0,NA,2014,2014
6147,NA,NA,2014-02-25,2014-02-25,0,0,NA,2014,2014
6149,NA,NA,2014-02-26,2014-02-26,0,0,NA,2014,2014
6150,NA,NA,2014-02-26,2014-02-26,0,0,NA,2014,2014
6153,NA,NA,2014-02-27,2014-02-05,0,0,NA,2014,2014
6155,481.958333333333,481.958333333333,2014-02-28,2014-02-28,NA,NA,2015,2014,2014
6158,421.958333333333,421.958333333333,2014-03-02,2014-03-02,NA,NA,2015,2014,2014
6160,267,289,2014-03-03,2014-02-09,NA,NA,2014,2014,2014
6166,416.958333333333,416.958333333333,2014-03-07,2014-03-07,NA,NA,2015,2014,2014
6169,630,630,2014-03-11,2014-03-11,NA,NA,2015,2014,2014
6170,412.958333333333,442.958333333333,2014-03-11,2014-02-09,NA,NA,2015,2014,2014
6175,410.958333333333,450.958333333333,2014-03-13,2014-02-01,NA,NA,2015,2014,2014
6180,NA,NA,2014-03-20,2014-01-31,0,0,NA,2014,2014
6181,203,178,2013-07-18,2013-08-12,NA,NA,2014,2013,2013
6185,398.958333333333,440.958333333333,2014-03-25,2014-02-11,NA,NA,2015,2014,2014
6186,828.958333333333,828.958333333333,2014-03-25,2014-03-25,NA,NA,2016,2014,2014
6196,121.958333333333,121.958333333333,2013-12-24,2013-12-24,NA,NA,2014,2013,2013
6199,342.958333333333,342.958333333333,2014-08-09,2014-08-09,NA,NA,2015,2014,2014
6205,NA,NA,2014-08-15,2014-08-15,0,0,NA,2014,2014
6209,NA,NA,2014-05-11,2014-06-06,0,0,NA,2014,2014
6213,342.958333333333,342.958333333333,2014-05-20,2014-05-20,NA,NA,2015,2014,2014
6219,337.958333333333,337.958333333333,2014-05-25,2014-05-25,NA,NA,2015,2014,2014
6221,381.958333333333,381.958333333333,2014-07-15,2014-07-15,NA,NA,2015,2014,2014
6230,471,471,2014-07-15,2014-07-15,NA,NA,2015,2014,2014
6239,NA,NA,2014-07-03,2014-07-03,0,0,NA,2014,2014
6240,NA,NA,2014-07-15,2014-07-15,0,0,NA,2014,2014
