"BirdID","NatalTerritory","Status","FieldPeriodID","PeriodStart","PeriodEnd"
"5685","14","CH","105",2011-06-25,2011-10-02
"5686","159","CH","105",2011-06-25,2011-10-02
"5748","50","CH","105",2011-06-25,2011-10-02
"5749","11","CH","105",2011-06-25,2011-10-02
"5750","9","CH","105",2011-06-25,2011-10-02
"5765","69","CH","105",2011-06-25,2011-10-02
"5766","68","CH","105",2011-06-25,2011-10-02
"5768","71","CH","105",2011-06-25,2011-10-02
"5769","51","CH","105",2011-06-25,2011-10-02
"5770","47","FL","112",2012-01-22,2012-02-28
"5771","47","CH","112",2012-01-22,2012-02-28
"5772","39","ABX","112",2012-01-22,2012-02-28
"5773","178","CH","105",2011-06-25,2011-10-02
"5774","3","CH","105",2011-06-25,2011-10-02
"5775","173","CH","105",2011-06-25,2011-10-02
"5776","160","CH","105",2011-06-25,2011-10-02
"5777","168","CH","112",2012-01-22,2012-02-28
"5778","168","CH","112",2012-01-22,2012-02-28
"5779","57","CH","105",2011-06-25,2011-10-02
"5780","27","CH","112",2012-01-22,2012-02-28
"5781","80","ABX","112",2012-01-22,2012-02-28
"5782","174","CH","105",2011-06-25,2011-10-02
"5783","127","CH","105",2011-06-25,2011-10-02
"5784","126","CH","105",2011-06-25,2011-10-02
"5785","60","CH","112",2012-01-22,2012-02-28
"5786","3","CH","105",2011-06-25,2011-10-02
"5787","9","CH","112",2012-01-22,2012-02-28
"5820","88","CH","112",2012-01-22,2012-02-28
"5821","125","CH","112",2012-01-22,2012-02-28
"5822","13","CH","116",2012-06-04,2012-09-30
"5823","30","CH","112",2012-01-22,2012-02-28
"5824","75","CH","112",2012-01-22,2012-02-28
"5825","2","CH","112",2012-01-22,2012-02-28
"5826","62","CH","105",2011-06-25,2011-10-02
"5827","2","CH","112",2012-01-22,2012-02-28
"5828","135","CH","105",2011-06-25,2011-10-02
"5829","20","CH","112",2012-01-22,2012-02-28
"5830","67","CH","105",2011-06-25,2011-10-02
"5831","3","OFL","116",2012-06-04,2012-09-30
"5832","477","CH","112",2012-01-22,2012-02-28
"5833","27","CH","105",2011-06-25,2011-10-02
"5834","2","CH","112",2012-01-22,2012-02-28
"5835","24","CH","105",2011-06-25,2011-10-02
"5836","172","BrM","116",2012-06-04,2012-09-30
"5837","14","CH","105",2011-06-25,2011-10-02
"5838","105","CH","112",2012-01-22,2012-02-28
"5839","36","CH","116",2012-06-04,2012-09-30
"5841","9","ABX","116",2012-06-04,2012-09-30
"5842","90","CH","112",2012-01-22,2012-02-28
"5843","28","ABX","116",2012-06-04,2012-09-30
"5844","478","CH","112",2012-01-22,2012-02-28
"5845","94","BrF","116",2012-06-04,2012-09-30
"5846","62","CH","116",2012-06-04,2012-09-30
"5847","110","CH","105",2011-06-25,2011-10-02
"5848","67","FL","116",2012-06-04,2012-09-30
"5849","63","CH","112",2012-01-22,2012-02-28
"5850","125","CH","112",2012-01-22,2012-02-28
"5851","134","FL","116",2012-06-04,2012-09-30
"5852","109","FL","116",2012-06-04,2012-09-30
"5853","77","CH","116",2012-06-04,2012-09-30
"5854","479","CH","116",2012-06-04,2012-09-30
"5855","479","CH","116",2012-06-04,2012-09-30
"5901","63","ABX","118",2013-01-22,2013-02-27
"5902","111","CH","116",2012-06-04,2012-09-30
"5903","173","CH","116",2012-06-04,2012-09-30
"5904","128","CH","116",2012-06-04,2012-09-30
"5905","43","CH","116",2012-06-04,2012-09-30
"5906","155","CH","116",2012-06-04,2012-09-30
"5907","80","CH","118",2013-01-22,2013-02-27
