mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
3518_104,5613,3518,3486,1,104,30/06/2010,10/09/2010,69,101,3486_104,Dom,69,101
3518_85,5267,3518,3454,1,85,08/01/2008,21/02/2008,69,101,3454_85,Dom,69,101
3567_124,6180,3567,5822,1,124,19/01/2014,04/03/2014,56,83,5822_124,Dom,56,83
3594_92,5530,3594,5197,1,92,08/06/2009,18/09/2009,123,172,5197_92,Dom,123,172
3595_104,5626,3595,5249,1,104,30/06/2010,10/09/2010,60.1,90,5249_104,Dom,60.1,90
3595_122,6037,3595,5292,1,122,18/06/2013,30/09/2013,60.1,90,5292_122,Sub,60.1,90
3595_122,6050,3595,5292,1,122,18/06/2013,30/09/2013,60.1,90,5292_122,Sub,60.1,90
3596_87,5217,3596,1579,0.999,87,10/07/2008,07/09/2008,85,125,1579_87,Sub,85,125
3596_90,5334,3596,1722,0.952,90,30/12/2008,03/03/2009,85,125,1722_90,Sub,85,125
3608_105,5748,3608,5237,0.999,105,25/06/2011,02/10/2011,34.5,50,5237_105,Dom,34.5,50
3616_104,5621,3616,2966,1,104,30/06/2010,10/09/2010,135,515,2966_104,Dom,135,515
4803_116,6014,4803,1829,1,116,04/06/2012,30/09/2012,83,121,1829_116,Dom,83,121
4861_124,6186,4861,5583,1,124,19/01/2014,04/03/2014,103.1,159,5583_124,Dom,103.1,159
4904_112,5820,4904,5447,1,112,22/01/2012,28/02/2012,59.1,88,5447_112,Dom,59.1,88
4904_124,6175,4904,5283,1,124,19/01/2014,04/03/2014,59.1,88,5283_124,Dom,59.1,88
4958_118,6009,4958,5626,1,118,22/01/2013,27/02/2013,52.1,77,5626_118,Dom,52.1,77
4964_104,5588,4964,911,0.992,104,30/06/2010,10/09/2010,8,13,911_104,Dom,8,13
4971_105,5749,4971,4902,1,105,25/06/2011,02/10/2011,6.5,11,4902_105,Dom,6.5,11
4973_92,5513,4973,2990,0.986,92,08/06/2009,18/09/2009,32.5,46,2990_92,Sub,32.5,46
5075_104,5652,5075,5000,1,104,30/06/2010,10/09/2010,102,157,5000_104,Dom,102,157
5125_112,5770,5125,5526,0.536,112,22/01/2012,28/02/2012,33,47,5526_112,Dom,33,47
5128_112,5838,5128,5583,1,112,22/01/2012,28/02/2012,73,105,5583_112,Dom,73,105
5128_124,6169,5128,5118,1,124,19/01/2014,04/03/2014,69,101,5118_124,Dom,69,101
5132_105,5776,5132,5121,1,105,25/06/2011,02/10/2011,104,160,5121_105,Dom,104,160
5132_139,6566,5132,5456,1,139,16/01/2015,05/03/2015,104,160,5456_139,Dom,104,160
5162_104,5683,5162,5077,1,104,30/06/2010,10/09/2010,117,174,5077_104,Dom,117,174
5162_122,6181,5162,5077,1,122,18/06/2013,30/09/2013,117,174,5077_122,Dom,117,174
5163_112,5823,5163,5072,0.987,112,22/01/2012,28/02/2012,23,30,5072_112,Dom,23,30
5163_92,5525,5163,5072,1,92,08/06/2009,18/09/2009,23,30,5072_92,Dom,23,30
5168_104,5575,5168,1731,1,104,30/06/2010,10/09/2010,51.1,74,1731_104,Dom,51.1,74
5212_118,6030,5212,5333,1,118,22/01/2013,27/02/2013,77.1,111,5333_118,Dom,77.1,111
5212_125,6219,5212,5559,1,125,16/06/2014,04/10/2014,77.1,111,5559_125,Dom,77.1,111
5212_139,6384,5212,5333,1,139,16/01/2015,05/03/2015,77.1,111,5333_139,Dom,77.1,111
5217_104,5547,5217,1869,0.995,104,30/06/2010,10/09/2010,103.1,159,1869_104,Sub,103.1,159
524_41,1710,524,1566,1,41,11/07/2002,02/10/2002,114,171,1566_41,Dom,114,171
5242_105,5639,5242,1489,0.999,105,25/06/2011,02/10/2011,82.1,118,1489_105,Sub,82.1,118
5267_112,5834,5267,3093,0.999,112,22/01/2012,28/02/2012,1.1,2,3093_112,Dom,1.1,2
5267_92,5517,5267,4829,0.999,92,08/06/2009,18/09/2009,1.1,2,4829_92,Dom,1.1,2
5277_104,5643,5277,5240,1,104,30/06/2010,10/09/2010,87.1,128,5240_104,Dom,87.1,128
5277_105,5648,5277,4933,1,105,25/06/2011,02/10/2011,87.1,128,4933_105,Dom,87.1,128
5277_116,5904,5277,5776,1,116,04/06/2012,30/09/2012,87.1,128,5776_116,Dom,87.1,128
5284_104,5604,5284,1762,1,104,30/06/2010,10/09/2010,9,14,1762_104,Dom,9,14
5284_105,5837,5284,5539,1,105,25/06/2011,02/10/2011,9,14,5539_105,Dom,9,14
5284_118,6028,5284,1762,1,118,22/01/2013,27/02/2013,9,14,1762_118,Dom,9,14
5320_92,5514,5320,1029,1,92,08/06/2009,18/09/2009,30.2,43,1029_92,Sub,30.2,43
5324_116,6013,5324,1869,0.939,116,04/06/2012,30/09/2012,101,154,1869_116,Dom,101,154
5337_125,6309,5337,6033,1,125,16/06/2014,04/10/2014,47.1,68,6033_125,Dom,47.1,68
5450_105,5769,5450,5614,1,105,25/06/2011,02/10/2011,35,51,5614_105,Dom,35,51
5452_124,6166,5452,6029,0.999,124,19/01/2014,04/03/2014,50.1,72,6029_124,Dom,50.1,72
5511_118,6034,5511,2974,1,118,22/01/2013,27/02/2013,121,178,2974_118,Dom,121,178
5514_105,5779,5514,5321,1,105,25/06/2011,02/10/2011,41,57,5321_105,Dom,41,57
5514_118,6021,5514,5321,1,118,22/01/2013,27/02/2013,41,57,5321_118,Dom,41,57
5517_105,5590,5517,3093,0.801,105,25/06/2011,02/10/2011,1.1,2,3093_105,Sub,1.1,2
5517_112,5825,5517,3093,1,112,22/01/2012,28/02/2012,1.1,2,3093_112,Sub,1.1,2
5518_124,6185,5518,5528,1,124,19/01/2014,04/03/2014,92,134,5528_124,Dom,92,134
5524_118,6029,5524,4860,1,118,22/01/2013,27/02/2013,129,480,4860_118,Dom,129,480
5524_142,6374,5524,4860,1,142,22/06/2015,29/09/2015,129,480,4860_142,Dom,129,480
5525_118,6025,5525,5513,1,118,22/01/2013,27/02/2013,33,47,5513_118,Sub,33,47
5530_118,6026,5530,3089,1,118,22/01/2013,27/02/2013,55,82,3089_118,Dom,55,82
5537_124,6196,5537,5626,1,124,19/01/2014,04/03/2014,54,81,5626_124,Dom,54,81
5537_142,6564,5537,4947,1,142,22/06/2015,29/09/2015,54,81,4947_142,Dom,54,81
5543_125,6240,5543,6033,0.999,125,16/06/2014,04/10/2014,50,71,6033_125,Sub,50,71
