mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_Terr,dad_FPID,mum_Terr
442_27,1500,442,609,1,27,09/04/1999,04/05/1999,30.1,609_27,30.1
442_30,1855,442,1543,1,30,06/06/2003,02/09/2003,30.1,1543_30,30.1
443_17,913,443,200,1,17,07/07/1994,29/07/1994,7,200_17,7
443_19,880,443,200,0.996,19,22/05/1995,14/09/1995,7,200_19,7
444_17,915,444,293,1,17,07/07/1994,29/07/1994,26.1,293_17,26.1
444_21,1048,444,42,1,21,24/06/1996,11/08/1996,26.1,42_21,26.1
444_25,1359,444,1166,1,25,20/06/1998,27/09/1998,26.1,1166_25,26.1
444_28,1515,444,1166,1,28,02/07/1999,26/09/1999,26.1,1166_28,26.1
444_40,1724,444,1165,1,40,29/06/2001,26/07/2001,26.1,1165_40,26.1
447_16,640,447,448,1,16,07/08/1993,13/08/1993,38,448_16,38
447_17,879,447,51,1,17,07/07/1994,29/07/1994,38,51_17,38
447_25,1414,447,1203,0.592,25,20/06/1998,27/09/1998,38,1203_25,38
447_27,1423,447,1203,1,27,09/04/1999,04/05/1999,38,1203_27,38
447_28,4017,447,176,1,28,02/07/1999,26/09/1999,38,176_28,38
449_21,1058,449,947,1,21,24/06/1996,11/08/1996,41,947_21,41
450_17,863,450,21,0.886,17,07/07/1994,29/07/1994,78,21_17,78
450_21,1167,450,629,1,21,24/06/1996,11/08/1996,57,629_21,57
450_21,1160,450,629,1,21,24/06/1996,11/08/1996,57,629_21,57
450_27,1563,450,634,1,27,09/04/1999,04/05/1999,57,634_27,57
451_17,835,451,446,0.783,17,07/07/1994,29/07/1994,29,446_17,29
454_17,931,454,609,0.999,17,07/07/1994,29/07/1994,32,609_17,32
454_19,1024,454,507,1,19,22/05/1995,14/09/1995,32,507_19,32
454_19,841,454,221,0.994,19,22/05/1995,14/09/1995,32,221_19,32
454_19,4255,454,44,0.525,19,22/05/1995,14/09/1995,32,44_19,32
454_21,1157,454,221,1,21,24/06/1996,11/08/1996,32,221_21,32
454_21,1156,454,216,0.999,21,24/06/1996,11/08/1996,32,216_21,32
454_22,1404,454,221,1,22,01/07/1997,28/08/1997,32,221_22,32
454_23,1371,454,216,0.999,23,20/12/1997,28/03/1998,32,216_23,32
455_22,1213,455,1212,1,22,01/07/1997,28/08/1997,33.1,1212_22,33.1
455_22,1345,455,507,0.997,22,01/07/1997,28/08/1997,33.1,507_22,33.1
457_19,951,457,507,1,19,22/05/1995,14/09/1995,11,507_19,11
457_25,1389,457,868,0.625,25,20/06/1998,27/09/1998,11,868_25,11
457_25,1412,457,868,1,25,20/06/1998,27/09/1998,11,868_25,11
458_21,1219,458,1039,0.999,21,24/06/1996,11/08/1996,9,1039_21,9
458_21,1054,458,499,1,21,24/06/1996,11/08/1996,9,499_21,9
458_22,1209,458,867,1,22,01/07/1997,28/08/1997,9,867_22,9
458_28,1559,458,499,1,28,02/07/1999,26/09/1999,9,499_28,9
458_30,1865,458,1268,0.984,30,06/06/2003,02/09/2003,9,1268_30,9
458_41,1775,458,499,1,41,11/07/2002,02/10/2002,9,499_41,9
459_17,921,459,465,1,17,07/07/1994,29/07/1994,39,465_17,39
459_19,1027,459,176,1,19,22/05/1995,14/09/1995,39,176_19,39
459_21,1030,459,947,1,21,24/06/1996,11/08/1996,39,947_21,39
459_22,1369,459,947,1,22,01/07/1997,28/08/1997,39,947_22,39
459_28,1539,459,176,0.958,28,02/07/1999,26/09/1999,39,176_28,39
459_28,1538,459,607,0.887,28,02/07/1999,26/09/1999,39,607_28,39
459_28,1541,459,1290,1,28,02/07/1999,26/09/1999,39,1290_28,39
459_30,2968,459,176,1,30,06/06/2003,02/09/2003,39,176_30,39
459_41,1671,459,1670,1,41,11/07/2002,02/10/2002,39,1670_41,39
461_17,831,461,NA,0.508,17,07/07/1994,29/07/1994,60,NA_17,60
461_17,831,461,NA,0.508,17,07/07/1994,29/07/1994,60,NA_17,39
461_21,1182,461,NA,0.727,21,24/06/1996,11/08/1996,39,NA_21,39
461_21,1182,461,NA,0.727,21,24/06/1996,11/08/1996,39,NA_21,60
462_16,510,462,465,0.997,16,07/08/1993,13/08/1993,39,465_16,39
462_16,460,462,77,0.684,16,07/08/1993,13/08/1993,39,77_16,39
464_16,444,464,25,1,16,07/08/1993,13/08/1993,36,25_16,36
464_16,664,464,448,0.997,16,07/08/1993,13/08/1993,36,448_16,36
464_17,848,464,65,1,17,07/07/1994,29/07/1994,36,65_17,36
464_17,939,464,65,0.726,17,07/07/1994,29/07/1994,36,65_17,36
