"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"124" "1200_41" "1752" "1200" "1553" "1" 41 34.5 "1553_41" "Dom" 47.1
"125" "1218_22" "1299" "1218" "916" "0.699" 22 103.1 "916_22" "Sub" 103.1
"126" "1218_22" "3745" "1218" "544" "0.978" 22 103.1 "544_22" "Sub" 103.1
"127" "1218_28" "1550" "1218" "886" "1" 28 27 "886_28" "Dom" 27
"128" "1218_28" "3994" "1218" "1199" "0.537" 28 27 "1199_28" "Dom" 27
"129" "1218_40" "1667" "1218" "1542" "1" 40 27 "1542_40" "Dom" 27
"130" "1218_41" "1736" "1218" "1542" "1" 41 26 "1542_41" "Dom" 26
"131" "1222_27" "1433" "1222" "501" "0.994" 27 1.1 "501_27" "Sub" 29
"132" "1222_27" "1433" "1222" "501" "0.994" 27 1.1 "501_27" "Sub" 1.1
"133" "1222_30" "335" "1222" "1287" "1" 30 29 "1287_30" "Dom" 29
"134" "1222_30" "1764" "1222" "1684" "1" 30 29 "1684_30" "Dom" 29
"135" "1222_39" "1605" "1222" "494" "1" 39 29 "494_39" "Dom" 29
"136" "1222_40" "1714" "1222" "494" "1" 40 29 "494_40" "Dom" 29
"137" "1222_40" "1607" "1222" "494" "1" 40 29 "494_40" "Dom" 29
"138" "1235_22" "3761" "1235" "1039" "1" 22 21 "1039_22" "Dom" 21
"139" "1240_25" "1411" "1240" "890" "0.665" 25 82.3 "890_25" "zDead" 82.3
"140" "1244_28" "1513" "1244" "467" "0.998" 28 50 "467_28" "Dom" 50
"141" "1244_30" "1846" "1244" "1213" "1" 30 50 "1213_30" "Dom" 50
"142" "1244_40" "1756" "1244" "1178" "0.996" 40 50 "1178_40" "Dom" 50
"143" "1244_41" "1703" "1244" "1213" "0.995" 41 50 "1213_41" "Dom" 50
"144" "1244_41" "1753" "1244" "1188" "1" 41 50 "1188_41" "Dom" 50
"145" "1244_75" "4894" "1244" "2990" "0.999" 75 50 "2990_75" "Dom" 50
"146" "1246_22" "1221" "1246" "868" "1" 22 23 "868_22" "Dom" 23
"147" "1246_25" "1384" "1246" "609" "0.998" 25 23 "609_25" "Dom" 23
"148" "1246_28" "3987" "1246" "609" "0.997" 28 23 "609_28" "Dom" 23
"149" "1247_28" "1510" "1247" "1020" "1" 28 17 "1020_28" "Dom" 17
"150" "1247_30" "1852" "1247" "1287" "0.574" 30 17 "1287_30" "Dom" 17
"151" "1247_32" "3003" "1247" "1795" "0.978" 32 17 "1795_32" "Dom" 17
"152" "1247_34" "3012" "1247" "1287" "1" 34 17 "1287_34" "Dom" 17
"153" "1247_39" "1608" "1247" "494" "1" 39 17 "494_39" "Dom" 17
"154" "1247_39" "1604" "1247" "494" "1" 39 17 "494_39" "Dom" 17
"155" "1247_40" "1719" "1247" "494" "1" 40 17 "494_40" "Dom" 17
"156" "1247_41" "1755" "1247" "1020" "1" 41 17 "1020_41" "Dom" 17
"157" "1271_23" "1270" "1271" "1395" "1" 23 111 "1395_23" "Dom" 111
"158" "1271_25" "1416" "1271" "605" "1" 25 111 "605_25" "Dom" 111
"159" "1271_28" "1507" "1271" "506" "0.999" 28 111 "506_28" "Dom" 111
